,Name,LongName,Country,Sector,FullTimeEmployees,EnterpriseValue,EarningsQuarterlyGrowth,ProfitMargins
10,TSN,"Tyson Foods, Inc.",United States,Consumer Defensive,141000.0,33383176192.0,-0.22,0.042640000000000004
11,K,Kellogg Company,United States,Consumer Defensive,31000.0,31341582336.0,0.227,0.08091000000000001
12,BFB,Brown-Forman Corporation,United States,Consumer Goods,4800.0,38283706368.0,0.742,0.28806000000000004
13,HRL,Hormel Foods Corporation,United States,Consumer Defensive,18700.0,26854715392.0,0.018000000000000002,0.0959
14,SJM,The J. M. Smucker Company,United States,Consumer Defensive,7000.0,18684516352.0,0.533,0.10782000000000001
15,LW,"Lamb Weston Holdings, Inc.",United States,Consumer Defensive,7700.0,12748473344.0,-0.228,0.09238
16,CPB,Campbell Soup Company,United States,Consumer Defensive,14500.0,20453648384.0,,0.18732001
17,TAP,Molson Coors Beverage Company,United States,Consumer Defensive,17700.0,16325303296.0,-0.40800000000000003,-0.016220000000000002
18,CVX,Chevron Corporation,United States,Energy,48200.0,163624189952.0,,-0.07567
19,XOM,Exxon Mobil Corporation,United States,Energy,74900.0,208303161344.0,,0.033530000000000004
20,COP,ConocoPhillips,United States,Energy,9700.0,44170711040.0,-0.835,0.09151000000000001
21,KMI,"Kinder Morgan, Inc.",United States,Energy,11086.0,64353329152.0,,0.014140001000000001
22,WMB,"The Williams Companies, Inc.",United States,Energy,4812.0,48638238720.0,-0.023,0.016790000000000003
23,PSX,Phillips 66,United States,Energy,14500.0,37879160832.0,,-0.01349
24,SLB,Schlumberger Limited,United States,Energy,85000.0,36985630720.0,,-0.73904
25,EOG,"EOG Resources, Inc.",United States,Energy,2900.0,25737213952.0,,0.026689999000000002
26,MPC,Marathon Petroleum Corporation,United States,Energy,60910.0,61498241024.0,-0.992,-0.074889995
27,VLO,Valero Energy Corporation,United States,Energy,10222.0,29336391680.0,1.047,0.012960000000000001
28,PXD,Pioneer Natural Resources Company,United States,Energy,2323.0,16961640448.0,,0.051810004
29,OKE,"ONEOK, Inc.",United States,Energy,2882.0,26958036992.0,-0.5690000000000001,0.071279995
30,HAL,Halliburton Company,United States,Energy,40000.0,20187144192.0,,-0.21350001000000002
31,HES,Hess Corporation,United States,Energy,1775.0,20218728448.0,,-0.60212004
32,CXO,Concho Resources Inc.,United States,Energy,1453.0,13316732928.0,,-2.7289498
33,OXY,Occidental Petroleum Corporation,United States,Energy,14400.0,60313808896.0,,-0.5614600000000001
34,BKR,Baker Hughes Company,United States,Energy,60000.0,18706573312.0,,-0.46028998
35,COG,Cabot Oil & Gas Corporation,United States,Energy,547.0,8898528256.0,-0.8320000000000001,0.20877
36,FANG,"Diamondback Energy, Inc.",United States,Energy,712.0,11872151552.0,,-0.8603200000000001
37,DVN,Devon Energy Corporation,United States,Energy,1800.0,6810976256.0,,-0.6310600000000001
38,APA,Apache Corporation,United States,Energy,3163.0,14416382976.0,,-1.58716
39,NOV,"National Oilwell Varco, Inc.",United States,Energy,33810.0,4889904640.0,,-0.35564
40,MRO,Marathon Oil Corporation,United States,Energy,2000.0,8534905344.0,,-0.16182000000000002
41,HFC,HollyFrontier Corporation,United States,Energy,4074.0,5977429504.0,,-0.011130000000000001
42,FTI,TechnipFMC plc,United Kingdom,Energy,37000.0,3785478144.0,-0.879,-0.43275002
43,BRKB,Berkshire Hathaway Inc.,United States,,391500.0,-35808022528.0,0.868,0.08895001
44,JPM,JPMorgan Chase & Co.,United States,Financial Services,256358.0,-338611109888.0,0.04,0.26026000000000005
45,BAC,Bank of America Corporation,United States,Financial Services,211225.0,-189543235584.0,-0.155,0.2642
46,WFC,Wells Fargo & Company,United States,Financial Services,274900.0,-24784982016.0,-0.559,0.053500000000000006
47,C,Citigroup Inc.,United States,Financial Services,209000.0,-315695529984.0,-0.343,0.20741
48,SPGI,S&P Global Inc.,United States,Financial Services,22500.0,88160452608.0,0.427,0.36195000000000005
49,BLK,"BlackRock, Inc.",United States,Financial Services,16200.0,101653946368.0,0.219,0.29833000000000004
0,GS,"The Goldman Sachs Group, Inc.",United States,Financial Services,39100.0,-188620947456.0,-0.846,0.14477
1,MS,Morgan Stanley,United States,Financial Services,61596.0,-200832057344.0,0.452,0.21250999
2,AXP,American Express Company,United States,Financial Services,64000.0,93233938432.0,-0.854,0.11886000000000001
3,CME,CME Group Inc.,United States,Financial Services,4360.0,62523867136.0,-0.02,0.46497002
4,MMC,"Marsh & McLennan Companies, Inc.",United States,Financial Services,76000.0,71816691712.0,0.723,0.11831999600000001
5,TFC,Truist Financial Corporation,United States,Financial Services,55000.0,69097250816.0,0.379,0.21112000000000003
6,ICE,"Intercontinental Exchange, Inc.",United States,Financial Services,6423.0,63390248960.0,0.108,0.38474998
7,PGR,The Progressive Corporation,United States,Financial Services,41571.0,57829457920.0,0.8190000000000001,0.12132000000000001
8,SCHW,The Charles Schwab Corporation,United States,Financial Services,19700.0,50201001984.0,-0.266,0.29799000000000003
9,CB,Chubb Limited,Switzerland,Financial Services,33000.0,66989940736.0,,0.0634
10,USB,U.S. Bancorp,United States,Financial Services,70000.0,77677838336.0,-0.17200000000000001,0.25730000000000003
11,PNC,"The PNC Financial Services Group, Inc.",United States,Financial Services,50017.0,17718919168.0,0.10200000000000001,0.51853
12,AON,Aon Plc,United Kingdom,Financial Services,50000.0,57328558080.0,0.437,0.16083999000000002
13,MCO,Moody's Corporation,United States,Financial Services,11279.0,59405881344.0,0.642,0.33396998
14,COF,Capital One Financial Corporation,United States,Financial Services,53100.0,29010739200.0,,0.016380000000000002
15,TROW,"T. Rowe Price Group, Inc.",United States,Financial Services,7527.0,32540319744.0,0.14300000000000002,0.35287997
16,MET,"MetLife, Inc.",United States,Financial Services,,106987831296.0,-0.917,0.10727999
17,BK,The Bank of New York Mellon Corporation,United States,Financial Services,48300.0,-73674366976.0,-0.066,0.26765
18,ALL,The Allstate Corporation,United States,Financial Services,45780.0,31355514880.0,0.46900000000000003,0.10277000000000001
19,TRV,"The Travelers Companies, Inc.",United States,Financial Services,30800.0,29158006784.0,,0.058280002000000004
20,MSCI,MSCI Inc.,United States,Financial Services,3513.0,32402558976.0,-0.084,0.32141000000000003
21,WLTW,Willis Towers Watson Public Limited Company,United Kingdom,Financial Services,45000.0,33590308864.0,-0.319,0.10996000500000001
22,PRU,"Prudential Financial, Inc.",United States,Financial Services,51511.0,25582350336.0,,-0.0022400000000000002
23,AIG,"American International Group, Inc.",United States,Financial Services,46000.0,41630560256.0,,-0.09454001000000001
24,AFL,Aflac Incorporated,United States,Financial Services,11729.0,30296985600.0,-0.015,0.13493000000000002
25,STT,State Street Corporation,United States,Financial Services,39068.0,-35148943360.0,0.182,0.20945999
26,FRC,First Republic Bank,United States,Financial Services,4812.0,34867937280.0,0.248,0.28332
27,AJG,Arthur J. Gallagher & Co.,United States,Financial Services,33000.0,25438887936.0,0.396,0.10724
28,AMP,"Ameriprise Financial, Inc.",United States,Financial Services,12500.0,17384570880.0,,0.20497999
29,DFS,Discover Financial Services,United States,Financial Services,17200.0,28910741504.0,,0.17762000000000003
30,MKTX,MarketAxess Holdings Inc.,United States,Financial Services,561.0,20191870976.0,0.743,0.42745000000000005
31,NTRS,Northern Trust Corporation,United States,Financial Services,20200.0,22013421568.0,-0.195,0.23589000000000002
32,FITB,Fifth Third Bancorp,United States,Financial Services,20340.0,30819440640.0,-0.5700000000000001,0.23146999000000001
33,SYF,Synchrony Financial,United States,Financial Services,16500.0,17446270976.0,-0.9440000000000001,0.30882000000000004
