Date,399001.SZ,^GSPC,^DJI,^IXIC,^NYA,^XAX,^BUK100P,^RUT,^VIX,^FTSE,^GDAXI,^FCHI,^STOXX50E,^N100,^BFX,IMOEX.ME,^N225,^HSI,000001.SS,399001.SZ,^STI,^AXJO,^AORD,^BSESN,^JKSE,^KLSE,^NZ50,^KS11,^TWII,^GSPTSE,^BVSP,^MXX,^IPSA,^MERV,^TA125.TA,^CASE30,^JN0U.JO,^OMX
2020-03-27,10109.91015625,2541.469970703125,21636.779296875,7502.3798828125,10187.2099609375,1487.22998046875,9322.1396484375,1131.989990234375,65.54000091552734,5510.2998046875,9632.51953125,4351.490234375,2728.64990234375,843.3900146484375,2862.7900390625,2401.110107421875,19389.4296875,23484.279296875,2772.202880859375,10109.91015625,2528.760009765625,4842.39990234375,4874.2001953125,29815.58984375,4545.57080078125,1343.0899658203125,9556.73046875,1717.72998046875,9698.919921875,12687.7001953125,73429.0,33799.48828125,,24058.599609375,,,2399.10009765625,1419.2900390625
2020-03-30,9904.9501953125,2626.64990234375,22327.48046875,7774.14990234375,10434.740234375,1513.25,9422.9296875,1158.3199462890625,57.08000183105469,5563.7001953125,9815.9697265625,4378.509765625,2765.6201171875,850.8900146484375,2826.93994140625,2433.35009765625,19084.970703125,23175.109375,2747.214111328125,9904.9501953125,2416.239990234375,5181.39990234375,5194.0,28440.3203125,4414.5,1328.8800048828125,9836.9296875,1717.1199951171875,9629.4296875,13038.5,74640.0,34199.96875,,24384.240234375,1235.2099609375,,2378.050048828125,1449.199951171875
2020-03-31,9962.2998046875,2584.590087890625,21917.16015625,7700.10009765625,10301.8701171875,1537.0,9598.3701171875,1153.0999755859375,53.540000915527344,5672.0,9935.83984375,4396.1201171875,2786.89990234375,858.1099853515625,2901.580078125,2508.81005859375,18917.009765625,23603.48046875,2750.2958984375,9962.2998046875,2481.22998046875,5076.7998046875,5110.60009765625,29468.490234375,4538.93017578125,1350.8900146484375,9851.08984375,1754.6400146484375,9708.0595703125,13378.7998046875,73020.0,34554.53125,,,1271.27001953125,,2451.929931640625,1482.4300537109375
2020-04-01,9951.83984375,2470.5,20943.509765625,7360.580078125,9844.849609375,1492.0899658203125,9200.3203125,1071.989990234375,57.060001373291016,5454.60009765625,9544.75,4207.240234375,2680.300048828125,827.8599853515625,2839.419921875,2473.610107421875,18065.41015625,23085.7890625,2734.52197265625,9951.83984375,2440.27001953125,5258.60009765625,5290.7001953125,28265.310546875,4466.037109375,1322.6600341796875,9794.66015625,1685.4599609375,9663.6298828125,12876.400390625,70967.0,33691.87890625,,25324.279296875,1233.780029296875,,2393.85009765625,1425.989990234375
2020-04-02,10179.2001953125,2526.89990234375,21413.439453125,7487.31005859375,10062.3701171875,1557.6099853515625,9266.599609375,1085.81005859375,50.90999984741211,5480.2001953125,9570.8203125,4220.9599609375,2688.489990234375,832.8400268554688,2895.39990234375,2545.949951171875,17818.720703125,23280.060546875,2780.637939453125,10179.2001953125,2453.030029296875,5154.2998046875,5188.7001953125,,4531.68505859375,1330.9000244140625,9925.2197265625,1724.8599853515625,,13097.7998046875,72253.0,33590.62109375,,26003.279296875,1229.699951171875,,2399.070068359375,1427.18994140625
2020-04-03,10110.1103515625,2488.64990234375,21052.529296875,7373.080078125,9880.6298828125,1520.31005859375,9159.6201171875,1052.050048828125,46.79999923706055,5415.5,9525.76953125,4154.580078125,2662.989990234375,819.97998046875,2857.050048828125,2572.22998046875,17820.189453125,23236.109375,2763.987060546875,10110.1103515625,2389.2900390625,5067.5,5106.89990234375,27590.94921875,4623.42919921875,1330.6500244140625,9935.1796875,1725.43994140625,,12938.2998046875,69538.0,33075.41015625,,26505.41015625,,,2334.64990234375,1404.5899658203125
2020-04-06,,2663.679931640625,22679.990234375,7913.240234375,10515.240234375,1583.3800048828125,9461.33984375,1138.780029296875,45.2400016784668,5582.39990234375,10075.169921875,4346.14013671875,2795.969970703125,854.8200073242188,2969.800048828125,2622.590087890625,18576.30078125,23749.119140625,,,2470.590087890625,5286.7998046875,5323.60009765625,,4811.8271484375,1341.68994140625,9958.099609375,1791.8800048828125,9818.740234375,13592.7001953125,74073.0,34381.55859375,,26922.58984375,1268.9599609375,,2443.780029296875,1461.22998046875
2020-04-07,10428.91015625,2659.409912109375,22653.859375,7887.259765625,10537.0400390625,1588.8900146484375,9653.2900390625,1139.1700439453125,46.70000076293945,5704.5,10356.7001953125,4438.27001953125,2857.669921875,872.6199951171875,3033.570068359375,2634.739990234375,18950.1796875,24253.2890625,2820.762939453125,10428.91015625,2571.889892578125,5252.2998046875,5301.2998046875,30067.2109375,4778.63916015625,1369.9200439453125,9849.400390625,1823.5999755859375,9996.3896484375,13614.099609375,76358.0,34526.30859375,,26696.099609375,1309.02001953125,,2560.050048828125,1510.8499755859375
2020-04-08,10386.5498046875,2749.97998046875,23433.5703125,8090.89990234375,10902.58984375,1661.6400146484375,9585.8095703125,1191.6600341796875,43.349998474121094,5677.7001953125,10332.8896484375,4442.75,2851.27001953125,874.3900146484375,3055.320068359375,2670.1201171875,19353.240234375,23970.369140625,2815.368896484375,10386.5498046875,2539.43994140625,5206.89990234375,5258.7998046875,29893.9609375,4626.69482421875,1361.3900146484375,10054.3603515625,1807.1400146484375,10137.4697265625,13925.7001953125,78625.0,34567.78125,,28017.58984375,,,2528.25,1499.510009765625
2020-04-09,10463.0498046875,2789.820068359375,23719.369140625,8153.580078125,11136.6103515625,1735.510009765625,9883.25,1246.72998046875,41.66999816894531,5842.7001953125,10564.740234375,4506.85009765625,2892.7900390625,887.8699951171875,3092.389892578125,2701.77001953125,19345.76953125,24300.330078125,2825.904052734375,10463.0498046875,2571.320068359375,5387.2998046875,5439.39990234375,31159.619140625,4649.0791015625,1369.760009765625,9963.900390625,1836.2099609375,10119.4296875,14166.599609375,77682.0,,,,,,2634.820068359375,1498.760009765625
